Recall Number||Report Date||Product||Recalling Firm||Product Type||Recall Reason
F-0958-2019||20190227||Block and Barrel Imperial CHEESE CHEDDAR SHARP PRINT WHT 1/10 LB||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0074-2021||20201111||Lidl Organic Butter Microwave Popcorn, 3 x 3.3oz, 10 boxes per case and 3 popcorn bags per box .||Lidl US TRADING||Food||Lidl US, LLC has initiated a recall of Lidl Organic Butter Microwave Popcorn, 3 x 3.3oz, 10 boxes per case and 3 popcorn bags per box.  Best by/Lot Codes:  JUL192021N2, JUL232021N2, AUG182021N2 because   the raw ingredient supplier for the popcorn has initiated a recall due to foreign material.
F-2312-2017||20170614||Aunt Jemima(R) Thick French toast, 72 COUNT, NET WT 10.7 LBS, UPC 001960043560||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1019-2019||20190227||Block and Barrel Imperial SALAD MACARONI||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0949-2019||20190227||Romanoff¿ CAVIAR WHITEFISH BLK¿2 oz (57g)¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0762-2020||20200311||Blendtopia Superfood Smoothie Kit Strength flavor, 7 oz flexible pouch||Blendtopia Products, LLC||Food||Potential contamination of Listeria monocytogenes.
F-1475-2018||20180523||Vans gluten free Original 6 WAFFLES NET WT 9 OZ (255g) INGREDIENTS:***VAN'S GLUTEN FREE MIX (BROWN RICE FLOUR, POTATO STARCH, RICE FLOUR, SOY FLOUR),***RICE FLOUR,***SUNFLOWER AND/OR SOY LECITHIN***CONTAINS: SOY DISTRIBUTED BY: VAN'S INTERNATIONAL FOODS SAN DIEGO, CA 92154 UPC 0 89947 30206 4||Tyson Foods Discovery Center||Food||The firm was notified that they failed to include the allergens milk & wheat in their ingredient statement.
F-0955-2019||20190227||CABOT CHEESE CHDR WHTE TOM BASIL BAR 12/8 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0962-2019||20190227||SOMRDAL CHEESE CREAM DEVON INST||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2270-2016||20160921||2nd EXPANSION 5/31/2016   Navitas Naturals, Superfood CACAO, Tart Cranberry, cacao Nut Bar, 1.4  oz., UPC 11961-02026    Distributed by Navitas Naturals, Novato, CA  94948.||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-2306-2017||20170614||AUNT JEMIMA(R) 14 LOW FAT WAFFLES, NET WT 17.18oz UPC 019600062301||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2299-2017||20170614||Homestyle pancakes packaged as follows:    a) AUNT JEMIMA(R) 12 HOMESTYLE PANCAKES, NET WT 14.8oz UPC 019600069102  b) AUNT JEMIMA(R) HOMESTYLE PANCAKES, 60 COUNT, NET WT 4.63 LBS, UPC 019600435907  c) AUNT JEMIMA(R) HOMESTYLE PANCAKES,60 COUNT   (MEXICO), NET WT 4.29 LBS, UPC 019600435921  d) AUNT JEMIMA(R) HOMESTYLE PANCAKES, 60 COUNT, NET WT 4.29 LBS, UPC 001960043596||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1029-2019||20190227||Sysco Imperial Fresh TOMATO ROMA DICED 3/8 TRAY||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0601-2020||20200212||Laubscher Cheese Co.; Shredded Cheese; Net Wt. 5 LBS. and 2 LBS.,Cryovac sealed plastic bags, Distributed By: Laubscher Cheese Co. Mercer, PA 16137||Laubscher Cheese Company, Ltd.||Food||Laubscher Cheese Company, LTD , has initiated a recall of Shredded Cheese, because samples of  the shredded cheese were found positive for Listeria Monocytogenes
F-0328-2021||20210217||Kowalski's Buffalo Cauliflower Bites with Kowalski's Steakhouse Blue Dressing.  Net Wt. 22 oz (1 lb. 6 oz) 624 g.  UPC  95631-89341.  Keep Refrigerated.  MFG BY: RDW Eagan, MN  55121||Russ Davis Wholesale Inc||Food||Blue Cheese Dressing contained in the Kowalski's Buffalo Cauliflower Bites may contain undeclared fish (anchovies).
F-1607-2019||20190731||Krystal 24 Sheet Sandwich Slider Buns||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-1600-2019||20190731||Flowers Enriched Rolls UPC 70210 00686 4||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-0979-2019||20190227||Arezzio Imperial CHEESE MOZZ FRSH OVOLINI 4 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0851-2020||20200401||UNCOOKED SWEET POTATO CRUSTED ALASKA POLLOCK NUGGETS 5 LBS 2.26KG DISTRIBUTED BY CORINTHIAN FOODS ST. SIMONS ISLAND, GA 31622 UPC 8 50008 56763 6||Corinthian Trading Inc||Food||The firm was notified by their customer that the product contains Chicken Nuggets instead of Fish Nuggets
F-1601-2019||20190731||Hamburger Buns soled under the brand names of: 7-ELEVEN 8CT, UPC 52548 00660 0; BRAVO 8CT, UPC 33755 85868 8; CBC NATHANS 8CT, UPC 72250 09366 8;  CLOVER VALLEY 8CT, UPC 70210 00759 5; FAMILY STYLE 8CT, UPC 72250 02473 0; FOOD DEPOT 8CT, UPC 72250 02440 2; GREAT VALUE 8CT, UPC 78742 22375 9; GRISSOM'S MILL 8CT, UPC 51933 26740 4; HITCHCOCK'S  8CT, UPC 70210 10337 2; HOME PRIDE 16CT, UPC 72250 00658 3; IDEAL 8CT, UPC 72250 02507 2; IGA 8CT, UPC 41270 02548 5; LAURA LYNN 8CT, UPC 86854 00780 8; MARKET PANTRY 8CT, UPC 85239 03163 6; MEMBERS MARK 8CT/3 PK, UPC 93968 01393 6; NATURAL GRAIN 8CT, UPC 73105 92058 0; OVEN FRESH 8CT, UPC 72250 02471 6; PIGGLY WIGGLY 8CT, UPC 41290 01317 2; PUBLIX 8CT, UPC 41415 30690 5; SE GROCERS 8CT, UPC 38259 10182 7; SEDANO'S 8CT, UPC 72250 00031 4; SUNBEAM 8CT, UPC 77633 06328 3; WM 8CT HAMBURGER BUNS (PAN PARA SANDWICH), UPC 78742 04868 0 & WONDER 8CT, UPC 72250 02109 8.||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-1604-2019||20190731||100% Whole Wheat Hamburger Buns sold under the brand names of: FLOWERS 8CT No UPC; GREAT VALUE UPC 78742 00800 4 & NATURES OWN 8CT UPC 72250 00398 8||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-0956-2019||20190227||CARRVLYCHEESE CHEDDAR CRNBRY CHIPOTLE 24/8 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1039-2019||20190227||Yoplait YOGURT STW/BAN ORIGINAL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2264-2016||20160921||2nd EXPANSION 5/31/2016    Product shipped OUS only.  Chili Limon Sunflower Kernel.  5 kg / 11 lb. box.   Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-1021-2019||20190227||Sysco Classic SALAD POTATO & EGG CNTRY STYLE||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0795-2019||20190213||Barcelona Nut Company, Roasted and Salted Select Inshell Pistachios 21/25, flexible package, shelf life of one year.    2.75 oz., UPC 030239130001 with expiration date 9/18/2019    2.25 oz., UPC 030239149034 with expiration date 9/17/2019 and 10/9/2019    1.50 oz., UPC 030239591154 with expiration date 10/9/2019 and 9/17/2019    1.25 oz., UPC 030239991060 with expiration date 10/8/2019    1 oz. Green plastic film package pictured UPC 030239510148 with expiration dates 10/4/2019 and 10/10/2019.||Barcelona Nut Company||Food||Barcelona Nut Company has initiated a recall of Roasted and Salted Select In shell Pistachios 21/25, flexible package, shelf life of one year because of salmonella contamination.
F-0950-2019||20190227||Romanoff¿ CAVIAR WHITEFISH RED 2 oz||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2313-2017||20170614||Waffles packaged as follows:  a) Aunt Jemima(R) Waffles, 144 COUNT, NET WT 7.88 LBS, UPC 001960043575  b) Aunt Jemima(R) Jumbo Square Waffles, 144 COUNT, NET WT 11.4 LBS, UPC 001960043573  c) Aunt Jemima(R) Waffles, 144 COUNT, NET WT 7.88 LBS, UPC 001960043575  d)  Mrs. Butter-worth's(R) WAFFLES, 72 COUNT, NET WT 7.88 LBS, UPC 001960046009  e) Mrs. Butter-worth's(R) WAFFLES, 144 COUNT, NET WT 11.4 LBS, UPC 001960046001  f) Hilltop HEARTH WAFFLES, 18 BOLSAS CON 8 PIEZAS, PESO NETO 11 LBS 6.9 OZ, UPC 075810861817  g) Aunt Jemima(R) Original Round Waffles, 144 COUNT, NET WT 11.25 LBS, UPC 001960043580||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1013-2019||20190227||IMPFRSH ONION RED DICED FRSH 1/4 IN¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1041-2019||20190227||YOGURT VAN W/M&M¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0981-2019||20190227||Great Lakes CHEESE PEPPER JACK SLI .5 OZ & .75 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2843-2015||20150722||Del Campo Alino Casero Seasoning Paste, 15oz; Product Code: 03138; UPC: 7 751227 000894.  Product is in a glass bottle.||Megabusiness LLC||Food||Product contains undeclared preservatives, Benzoic Acid and Sorbic Acid.
F-2080-2016||20160914||Lysander's All Natural Spicy Bourbon Flavor Rub; for beef, chicken, pork, and fish; 3.8 oz (107.7 g) foil bag, 6 units per case. Manufactured by Geneva Foods, LLC.||Geneva Foods, LLC||Food||Product contains undeclared allergens soy and wheat. Also does not declare sulfites.
F-1018-2019||20190227||Sysco Imperial SALAD FRUIT POPYMG LT SYRUP||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1013-2018||20180418||Signature Care Calcium Chews; Dietary Supplement; 500 mg Calcium; 25 mcg Vitamin D; Chocolate; 100 chews; Serving Size 1 chew;||Bestco, Inc.||Food||A packaging revision and lack of revision to the corresponding packaging batch record caused the labeling for the firm's Signature Care brand Calcium Chews dietary supplement to declare a higher level of Vitamin D than the product actually contained.  The bag declares 25 mcg (1000 IU) of Vitamin D.  The product actually contains 12.5 mcg (500 IU) of Vitamin D.
F-0976-2019||20190227||LIGHT COW CHEESE LAUGHING COW BAY BEL¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2316-2017||20170614||Hilltop HEARTH WAFFLES, 18 BOLSAS CON 8 PIEZAS, PESO NETO 11LB 6.4 oz, UPC075810843855||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1003-2019||20190227||CABOT CREAM WHIPPED ARSL CANS¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1605-2019||20190731||Hot Dog Buns sold under the brand names of: CLOVER VALLEY 8CT UPC 70210 00760 1; FAMILY STYLE 8CT UPC 70210 01297 1; FLOWERS RESTAURANT 12CT UPC 70210 00640 6, UPC 70210 00649 9 & UPC 70210 00964 3; FOOD DEPOT 8CT UPC 72250 02439 6; GREAT VALUE 8CT UPC 78742 09728 2; IDEAL 8CT UPC 72250 02463 1; IGA 8CT UPC 41270 04244 4; LAURA LYNN 8CT UPC 86854 00784 6; MARLET PANTRY 8 CT UPC 85239 70133 1; NATURAL GRAIN 12CT UPC 73105 92059 7; OVEN FRESH 8CT UPC 72250 02438 9; PIGGLY WIGGLY 8CT UPC 41290 01313 4; PUBLIX 8CT UPC 41415 30790 2; SE GROCERS 8CT UPC 38259 10183 4; SUNBEAM 8CT UPC 77633 06374 0 & WONDER 8CT UPC 72250 02108 1||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2297-2017||20170614||AUNT JEMIMA(R) 12 PANCAKES MADE WITH WHOLE GRAIN, NET WT 14.5oz UPC 019600066408||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2303-2017||20170614||AUNT JEMIMA(R) 14 HOMESTYLE WAFFLES, NET WT 17.18oz UPC 019600062004||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1015-2019||20190227||Resers PUDDING BANANA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1016-2019||20190227||Block and Barrel Imperial SALAD COLESLAW||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0969-2019||20190227||Block and Barrel Imperial CHEESE GOAT CRUMBLE TRAY PK 1 lb blocks||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0017-2021||20201021||Newly Weds Foods G44384 Cinnamon Snack Seasoning X1, 250 lbs. drum||Newly Weds Foods Inc||Food||potentially contaminated with Salmonella
F-0964-2019||20190227||Block and Barrel Imperial CHEESE CUBE CHED/SWISS/PEP JCK 3/5 lb blocks||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0967-2019||20190227||Societe CHEESE FRCH ROQUEFORT HALF WHL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2260-2016||20160921||DAKOTA STYLE SAVORY BACON sunflower kernel 2000 lbs. Poly Lined - Poly Woven Tote, Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-1945-2019||20190807||Truly Good Foods Edamame Beans Roasted and Salted 7 oz. (198g) plastic clam shell DISTRIBUTED BY TRULY GOOD FOODS, CHARLOTTE, NC 28273 UPC 0 94184 56100 6||Tropical Nut & Fruit Company||Food||Allergen statement not printed on label of roasted and salted Edamame
F-2292-2017||20170614||AUNT JEMIMA(R) LIL' GRIDDLES(TM) BLUEBERRY MINI PANCAKES, 40 COUNT, NET WT 14.5oz UPC 019600054603||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2266-2016||20160921||2nd EXPANSION 5/31/2016  Roasted No Salt Ranch Sunflower Kernel, 45 lb. box.   Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-0968-2019||20190227||Cocina CHEESE FRESCO QUESO 10# case||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0960-2019||20190227||Block and Barrel Imperial CHEESE CHEDDAR X SHARP LOAF YW 2/5 LB cases||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1005-2019||20190227||ONEKOMB DRINK KOMBUCHA TRIPLE BERRY¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0084-2020||20191106||LUNCH BOX SANDWICHES CHICKEN SALAD; NET WT 4.5 oz (127G); MADE BY: GS Sandwich Co. Longs, SC 29568 843-399-2999; UPC 0 67068 12105 4||Grand Strand Sandwich Company,Inc.||Food||The firm was notified by their supplier of possible contamination of Listeria monocytogenes in the product.
F-0018-2021||20201021||Newly Weds Foods S13823 Berbere Seasoning Blend X1, 50 lbs. bag||Newly Weds Foods Inc||Food||potentially contaminated with Salmonella
F-2272-2016||20160921||2nd EXPANSION 5/31/2016   Navitas Naturals, Superfood HEMP, Creamy Peanut, hemp Nut Bar, 1.4 oz., UPC 11961-02030    Distributed by Navitas Naturals, Novato, CA  94948.||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-1030-2019||20190227||Chobani	YOGURT BLACK CHERRY GREEK NF||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2308-2017||20170614||AUNT JEMIMA(R) MiNi pancakes, BLUEBERRY BLAST, NET WT 3.2 OZ, UPC 001960043567||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2273-2016||20160921||2nd EXPANSION 5/31/2016   Navitas Naturals, Superfood MACA, Sweet Maple maca Nut Bar, 1.4 oz., UPC 11961-02024    Distributed by Navitas Naturals, Novato, CA  94948.||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-2305-2017||20170614||AUNT JEMIMA(R) 14 BLUEBERRY WAFFLES, NET WT 17.18oz UPC 019600062202||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1025-2019||20190227||PACE SAUCE PICANTE MEDIUM¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0031-2019||20181024||United Fitness Mix 25LB box, Almonds, Walnuts, Pumpkin Seeds, Cashews, Blueberries***Manufactured or packed in a facility that uses tree nuts, peanuts, milk, soy, and wheat products" Distributed by: Truly Good Foods, Orlando, FL 32811 UPC 0 94154 00803 7||Tropical Nut & Fruit Company||Food||The firm was notified by a customer that there were maggots in the product.
F-0977-2019||20190227||BELGIO CHEESE MASCARPONE BELIOIOSO¿¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2463-2017||20170719||HIPP HA Combiotik HA 1, 500g (4/case), HIPP Combiotik HA 2, 500g (4/case), HA Combiotik Pre HA, 500g (4/case), HIPP Combiotic Growing Up Milk 3, 600g (4bx/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-1037-2019||20190227||Dannon YOGURT STRAWBERRY LIGHT & FIT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0381-2021||20210324||Amazon Kitchen, Avocado Chicken Salad Sandwich, Net Wt. 8.1 oz., Cello wrap with cardboard liner,  1 unit per package,  Perishable Keep Refrigerated||Flying Food Group LLC||Food||Flying Food Group, LLC , initiated a recall of Amazon Kitchen Avocado Chicken Salad Sandwich .    The soy allergen is undeclared on the finish product label. The label does have the following statement "Prepared on shared equipment with other foods that contain eggs, fish, milk, peanut, shellfish, soy, tree nuts and wheat".
F-0763-2020||20200311||Blendtopia Superfood Smoothie Kit Energy flavor, 7 oz flexible pouch||Blendtopia Products, LLC||Food||Potential contamination of Listeria monocytogenes.
F-0991-2019||20190227||Pacific Harbor CRAB MEAT HAANII JMBO LUMP CHN||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2304-2017||20170614||AUNT JEMIMA(R) 14 BUTTERMILK WAFFLES, NET WT 17.18oz UPC 019600062103||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2461-2017||20170719||HIPP Anti-Reflux AR Bio-Spezialnahrung, 500g (4/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-0957-2019||20190227||WIEBE CHEESE CHEDDAR CTTNWOOD RIVER¿1/5 LBS||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2310-2017||20170614||French toast packaged as follows:  a) Hilltop HEARTH, FRENCH TOAST, 18 8 COUNT BAGS, NET WT 10 LB 11.2 OZ, UPC 075810861816  b) Hilltop HEARTH, FRENCH TOAST, 12 6 COUNT BAGS, NET WT 10 LB 11.2 OZ, UPC 075810843855  c) Hilltop HEARTH FRENCH TOAST, 12 6 COUNT BAGS, NET WT. 10 LB 11.2 OZ, UPC 075810843854  d) Mrs. Butter-worth's(R), FRENCH TOAST, 144 count, NET WT. 13.5, UPC 001960046003||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2309-2017||20170614||AUNT JEMIMA(R) MiNi pancakes, CINNAMON ROLL, NET WT 3.2 OZ, UPC 001960043568||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2261-2016||20160921||EXPANDED 5/18/2016   DAKOTA STYLE Salted Caramel sunflower kernel 2000 lbs. Poly Lined - Poly Woven Tote, Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-2262-2016||20160921||2nd EXPANSION 5/31/2016   Blazin Hot sunflower kernel 1.2 oz. plastic bag.   Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.       2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-2271-2016||20160921||2nd EXPANSION 5/31/2016   Navitas Naturals, Superfood GOJI, Tangy berry, acai Nut Bar, 1.4 oz., UPC 11961-02028    Distributed by Navitas Naturals, Novato, CA  94948.||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-0948-2019||20190227||Carrot Stick||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0965-2019||20190227||Pegasus CHEESE FETA CRUMBLE 2/5 lb blocks||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0995-2019||20190227||Quality Crab CRAB MEAT LUMP NC||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1166-2020||20200826||My Nana's Thick & Crunchy Tortilla Chips, 12 oz. (340g) paper bag (12 bags per case), UPC 0-34392-10161-8.||La Canasta Mexican Food Products, Inc.||Food||Tortilla chips turn stale prior to expiration date.
F-0966-2019||20190227||TAYFRMS CHEESE FONTINA SLICE 1 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2311-2017||20170614||Aunt Jemima(R) Original Thin French toast, 144 COUNT, NET WT 13.5 LBS, UPC 001960005870||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1038-2019||20190227||Yoplait YOGURT STRAWBERRY ORIGINAL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
